9.263: [Full GC [PSYoungGen: 23148K->0K(38208K)] [ParOldGen: 327376K->231800K(349568K)] 350524K->231800K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1621940 secs] [Times: user=0.30 sys=0.00, real=0.17 secs] 
9.472: [GC [PSYoungGen: 27684K->64K(38208K)] 322301K->322365K(387776K), 0.0138520 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
9.486: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 322301K->236419K(349568K)] 322365K->236419K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1582270 secs] [Times: user=0.28 sys=0.00, real=0.16 secs] 
9.714: [Full GC [PSYoungGen: 27652K->0K(38208K)] [ParOldGen: 344344K->249188K(349568K)] 371996K->249188K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1704480 secs] [Times: user=0.31 sys=0.00, real=0.17 secs] 
9.920: [GC [PSYoungGen: 25391K->64K(38208K)] 317172K->317014K(387776K), 0.0126970 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.933: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 316950K->219206K(349568K)] 317014K->219206K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1438600 secs] [Times: user=0.26 sys=0.00, real=0.15 secs] 
10.112: [GC [PSYoungGen: 25592K->64K(38208K)] 287870K->287789K(387776K), 0.0123240 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
10.147: [GC [PSYoungGen: 23352K->64K(38208K)] 335461K->335365K(387776K), 0.0119650 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
10.159: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 335301K->204855K(349568K)] 335365K->204855K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1544410 secs] [Times: user=0.26 sys=0.00, real=0.15 secs] 
10.356: [GC [PSYoungGen: 32768K->64K(38208K)] 286281K->286090K(387776K), 0.0183550 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
10.408: [Full GC [PSYoungGen: 26354K->0K(38208K)] [ParOldGen: 327886K->233803K(349568K)] 354241K->233803K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1654910 secs] [Times: user=0.30 sys=0.00, real=0.16 secs] 
10.595: [GC [PSYoungGen: 24153K->64K(38208K)] 274754K->274818K(387776K), 0.0116040 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
10.652: [Full GC [PSYoungGen: 25352K->0K(38208K)] [ParOldGen: 343148K->284805K(349568K)] 368500K->284805K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1810630 secs] [Times: user=0.34 sys=0.00, real=0.18 secs] 
